APN,FORMATTED_ADDRESS,COMMUNITY,ABOVEGROUNDAREA,BELOWGROUNDAREA,PARCEL_AREA_SQFT,YEARBUILT,BATHROOMS,BEDROOMS,NUM_STORIES,FIREPLACES,CONSTRUCTIONTYPE,Assessed Value,Sale Price,Recommend Sale
3.02924E+11,2910 California St,NORTHEAST,,,10640,,,,,,,320000,352500,Sell
4.02824E+11,3041 Holmes Ave #401,CALHOUN-ISLE,,,11425,,,,,,,460000,1359150,Sell
4.02824E+11,3248 Holmes Ave,CALHOUN-ISLE,,,5450,,,,,,,520500,555350,Sell
6.02823E+11,3117 42ND Ave S,LONGFELLOW,,,6750,,,,,,,350000,650000,Sell
8.02824E+11,4433 Washburn Ave S,SOUTHWEST,,,5670,,,,,,,900000,1245000,Sell
8.02924E+11,3009 Queen Ave N,NEAR NORTH,,,5059,,,,,,,88500,245000,Sell
8.02924E+11,3000 Russell Ave N,NEAR NORTH,,,5059,,,,,,,108000,239900,Sell
8.02924E+11,2707 Russell Ave N,NEAR NORTH,,,5132,,,,,,,85000,220000,Sell
8.02924E+11,2700 Sheridan Ave N,NEAR NORTH,,,5132,,,,,,,89000,244900,Sell
8.02924E+11,2640 Russell Ave N,NEAR NORTH,,,5520,,,,,,,96500,229900,Sell
9.02924E+11,3510 Colfax Ave N,CAMDEN,,,5774,,,,,,,237500,250000,Sell
9.02924E+11,3450 Humboldt Ave N,CAMDEN,,,5018,,,,,,,20000,260000,Sell
9.02924E+11,2907 Knox Ave N,NEAR NORTH,,,5046,,,,,,,207000,225000,Sell
1.20292E+12,2803 Polk St,NORTHEAST,,,4700,,,,,,,409000,420150,Not Sell
1.20292E+12,1843 Polk St,NORTHEAST,,,4500,,,,,,,225000,599000,Sell
1.21182E+12,1208 50TH Ave N,CAMDEN,,,4744,,,,,,,95500,303845,Sell
1.21182E+12,1213 50TH Ave N,CAMDEN,,,4928,,,,,,,245000,340980,Sell
1.21182E+12,1211 50TH Ave N,CAMDEN,,,4744,,,,,,,185500,339081,Sell
1.21182E+12,1209 50TH Ave N,CAMDEN,,,4744,,,,,,,185500,372035,Sell
1.70282E+12,4648 Washburn Ave S,SOUTHWEST,,,5670,,,,,,,550000,1140000,Sell
1.70292E+12,2406 Mcnair Ave,NEAR NORTH,,,15956,,,,,,,0,2533,Sell
2.00282E+12,5601 Thomas Ave S,SOUTHWEST,,,6985,,,,,,,230000,895000,Sell
2.20282E+12,5716 1ST Ave S,SOUTHWEST,,,5040,,,,,,,450000,608140,Sell
2.30282E+12,5641 12TH Ave S,NOKOMIS,,,6160,,,,,,,370000,757480,Sell
2.60292E+12,1120 2ND St S #206,CENTRAL,,,94988,,,,,,,688500,695000,Not Sell
2.60292E+12,1120 2ND St S #213,CENTRAL,,,94988,,,,,,,501000,585000,Sell
2.60292E+12,1120 2ND St S #301,CENTRAL,,,94988,,,,,,,604500,560000,Not Sell
2.60292E+12,1120 2ND St S #304,CENTRAL,,,94988,,,,,,,421500,457500,Sell
2.60292E+12,1120 2ND St S #316,CENTRAL,,,94988,,,,,,,410500,449000,Sell
2.60292E+12,1120 2ND St S #404,CENTRAL,,,94988,,,,,,,454000,428740,Not Sell
2.60292E+12,1120 2ND St S #410,CENTRAL,,,94988,,,,,,,367000,422000,Sell
2.60292E+12,1120 2ND St S #508,CENTRAL,,,94988,,,,,,,700500,776000,Sell
2.60292E+12,1120 2ND St S #511,CENTRAL,,,94988,,,,,,,556000,570000,Not Sell
2.60292E+12,1120 2ND St S #513,CENTRAL,,,94988,,,,,,,557500,725000,Sell
2.60292E+12,1120 2ND St S #517,CENTRAL,,,94988,,,,,,,602500,590000,Not Sell
2.60292E+12,1120 2ND St S #603,CENTRAL,,,94988,,,,,,,533500,460000,Not Sell
2.60292E+12,1120 2ND St S #604,CENTRAL,,,94988,,,,,,,485500,435000,Not Sell
2.60292E+12,1120 2ND St S #612,CENTRAL,,,94988,,,,,,,464500,464500,Not Sell
2.60292E+12,1120 2ND St S #614,CENTRAL,,,94988,,,,,,,830500,1303800,Sell
2.60292E+12,1120 2ND St S #705,CENTRAL,,,94988,,,,,,,597000,560000,Not Sell
2.60292E+12,1120 2ND St S #901,CENTRAL,,,94988,,,,,,,852000,735000,Not Sell
2.60292E+12,1120 2ND St S #904,CENTRAL,,,94988,,,,,,,528000,468250,Not Sell
2.60292E+12,1120 2ND St S #908,CENTRAL,,,94988,,,,,,,821000,885000,Sell
2.60292E+12,1120 2ND St S #1001,CENTRAL,,,94988,,,,,,,1120000,1195000,Sell
2.60292E+12,1120 2ND St S #1102,CENTRAL,,,94988,,,,,,,892500,790000,Not Sell
2.60292E+12,1120 2ND St S #1205,CENTRAL,,,94988,,,,,,,1305500,1500000,Sell
3.20292E+12,2928 Dean Pkwy #5-B,CALHOUN-ISLE,,,20242,,,,,,,291500,162500,Not Sell
4.02824E+11,3018 Aldrich Ave S #B104,CALHOUN-ISLE,343,,11634,1963,1,0,1,0,Wood Frame,91500,115000,Sell
4.02824E+11,3018 Aldrich Ave S #204,CALHOUN-ISLE,343,,11634,1963,1,0,1,0,Wood Frame,93000,110000,Sell
2.70292E+12,1901 Stevens Ave #306,CENTRAL,344,,6400,1919,1,0,1,0,Wood Frame,80000,100000,Sell
9.02824E+11,3909 Aldrich Ave S #4,SOUTHWEST,355,,15750,1913,1,1,1,0,NA,83000,65500,Not Sell
2.70292E+12,1901 Stevens Ave #308,CENTRAL,361,,6400,1919,1,0,1,0,Wood Frame,91500,105000,Sell
4.02824E+11,3512 Bryant Ave S #106,CALHOUN-ISLE,362,,10752,1961,1,0,1,0,Concrete,68500,102735,Sell
2.70292E+12,1901 Stevens Ave #207,CENTRAL,363,,6400,1919,1,0,1,0,Wood Frame,82500,90000,Sell
3.30292E+12,2446 Aldrich Ave S #309,CALHOUN-ISLE,371,,23292,1971,1,0,1,0,Wood Frame,72000,83711,Sell
3.30292E+12,2536 Dupont Ave S #101,CALHOUN-ISLE,378,,13524,1968,1,0,1,0,Concrete,67500,86900,Sell
3.02824E+11,3236 Garfield Ave #003,POWDERHORN,379,,10148,1966,1,0,0,0,Wood Frame,72500,89000,Sell
2.40282E+12,5629 25TH Ave S,NOKOMIS,385,385,5120,1900,1,1,1,0,Wood Frame,98500,128525,Sell
2.60292E+12,431 7TH St S #2614,CENTRAL,394,,50950,1982,1,0,1,0,Reinforced Concrete,95000,111895,Sell
4.02824E+11,3252 Fremont Ave S #105,CALHOUN-ISLE,398,,5459,1929,1,0,1,0,Wood Frame,107000,110000,Not Sell
2.80292E+12,1928 Aldrich Ave S #103,CALHOUN-ISLE,398,354,31950,1908,2,2,2,0,Brick & Mill,125000,134000,Sell
3.00292E+12,2900 University Ave SE #501,UNIVERSITY,400,,28474,2007,1,0,1,0,Wood Frame,109000,119850,Sell
2.80292E+12,1928 Aldrich Ave S #105,CALHOUN-ISLE,405,,31950,1908,1,1,1,0,Brick & Mill,106000,115050,Sell
2.80292E+12,1928 Aldrich Ave S #203,CALHOUN-ISLE,405,,31950,1908,1,1,1,0,Brick & Mill,87000,115000,Sell
3.40292E+12,2325 Grand Ave #207,POWDERHORN,420,,6178,1908,1,1,1,0,Wood Frame,95000,105000,Sell
2.70292E+12,500 Ridgewood Ave #001,CENTRAL,423,,11250,1966,1,1,1,0,Wood Frame,72000,90000,Sell
2.40282E+12,5509 26TH Ave S,NOKOMIS,424,424,5120,1900,1,1,1,0,Wood Frame,119000,110000,Not Sell
3.40292E+12,2112 Garfield Ave #1,POWDERHORN,430,,10684,1961,1,1,2,0,Wood Frame,87000,93000,Sell
2.70292E+12,1820 1ST Ave S #303,CENTRAL,433,,9600,1925,1,0,1,0,Wood Frame,76500,108900,Sell
8.02824E+11,4418 Lake Harriet Pkwy W #105,SOUTHWEST,434,,19970,1922,1,0,1,0,Concrete,138000,147850,Sell
8.02824E+11,4418 Lake Harriet Pkwy W #106,SOUTHWEST,434,,19970,1922,1,0,1,0,Concrete,153500,151000,Not Sell
8.02824E+11,4418 Lake Harriet Pkwy W #301,SOUTHWEST,434,,19970,1922,1,0,1,1,Concrete,177500,171900,Not Sell
8.02824E+11,4136 Queen Ave S #104,SOUTHWEST,435,,10270,1925,1,0,1,0,Wood Frame,110000,149000,Sell
3.30292E+12,2881 Irving Ave S #206,CALHOUN-ISLE,439,,6855,1916,1,1,1,0,Wood Frame,131000,125000,Not Sell
3.40292E+12,2112 Garfield Ave #5,POWDERHORN,441,,10684,1961,1,1,0,0,Wood Frame,89500,108640,Sell
2.70292E+12,500 Ridgewood Ave #201,CENTRAL,445,,11250,1966,1,1,1,0,Wood Frame,87500,114000,Sell
3.00292E+12,26 Arthur Ave #101,UNIVERSITY,450,,17043,1973,1,1,1,0,Wood Frame,93500,119000,Sell
